ORGNIZATION NAME (TD/ DTC),DEPOT NAME,BUS NO,BUS ROUTE,REPORT TIME,SPEED,LATEST POI DETAIL IN BUS ROUTE,GPS LOCATION LONGITUDE,GPS LOCATION LATITUDE
CLUSTER,,DL1PD2627,,2021-12-18 17:56:54,8,Madhu Vihar (U00566),77.0614,28.599883
CLUSTER,,DL1PC5980,,2021-12-18 17:53:08,20,Ashok Vihar Water Tank (U01798),77.173667,28.687017
CLUSTER,,DL1PD0070,,2021-12-18 17:51:52,5,Mangla Puri Terminal (U00780),77.086907,28.590099
CLUSTER,,DL1PC6355,,2021-12-18 17:51:14,40,COD Ring Road (NS0253),77.137456,28.612706
DTC,,DL1PC9766,,2021-12-18 17:49:30,17,GTB Nagar (U02350),77.206457,28.698267
DTC,,DL1PC9066,,2021-12-18 17:48:39,19,ASHOKA PARK (DTC1049),77.157238,28.671412
DTC,,DL1PC7755,,2021-12-18 17:45:18,19,Shivaji Park (U02663),77.224176,28.638735
DTC,,DL1PC9310,,2021-12-18 17:40:13,10,SJ Hospital (U02309),77.204517,28.569483
CLUSTER,,DL1PD2493,,2021-12-18 17:40:10,27,PS Kirti Nagar (U01414),77.1429,28.648567
CLUSTER,,DL1PC6191,,2021-12-18 17:40:01,11,Old Delhi Railway Station (T) (U02686),77.225997,28.660416
CLUSTER,,DL1PC5470,,2021-12-18 17:37:25,28,Amir Khusro Park / Oberoi Hotel (DC0096),77.2407,28.5965
DTC,Rohini3,DL1PC9737,,2021-12-18 17:36:36,16,Rohini Depot III (U01039),77.10895,28.69546
CLUSTER,,DL1PC6354,,2021-12-18 17:35:03,17,Gupta Market (U03997A),77.239667,28.56485
CLUSTER,,DL1PC6307,,2021-12-18 17:34:56,24,Hamdard Nagar / Sangam Vihar (U03033),77.248667,28.512167
CLUSTER,,DL1PD0054,,2021-12-18 17:34:05,0,Kakrola Bridge (U00377),77.024856,28.619758
CLUSTER,,DL1PD2649,,2021-12-18 17:31:19,43,Vasant Village (U01606),77.160167,28.574967
DTC,BBM DTC,DL1PC7113,,2021-12-18 17:29:36,26,Jharoda Dairy Crossing (U02169),77.197717,28.734483
CLUSTER,,DL1PC6361,,2021-12-18 17:26:58,0,Nehru Nagar (U03074),77.253994,28.569338
CLUSTER,,DL1PC6546,,2021-12-18 17:25:35,22,Prem Nagar (U03331),77.2801,28.5036
DTC,,DL1PC9747,,2021-12-18 17:19:55,18,Multan Nagar (U01020),77.105783,28.6783
CLUSTER,,DL1PD1704,,2021-12-18 17:19:30,6,Nizamuddin Railway Station (U03066),77.253045,28.586325
CLUSTER,,DL1PC5509,,2021-12-18 17:13:37,27,Shahadara Border Road No 62 (U03750),77.323483,28.677683
CLUSTER,,DL1PC6886,,2021-12-18 17:13:01,24,Supreme Court / Pragati Maidan Metro Station (U02928PM),77.24065,28.622483
CLUSTER,,DL1PD3613,,2021-12-18 17:09:58,25,Guru Govind Singh University (Kashmere Gate) (U02786),77.2303,28.6652
